X,Y,10/27/2021,12/14/2021,3/4/2022,3/20/2022,3/28/2022,4/13/2022,4/21/2022,1/26/2024,1/29/2024
600520.0947,3628724.5117,29.1458,25.7446,27.4809,28.7115,28.9393,30.1111,31.2695,27.6696,25.6804
600520.0947,3628724.3225,29.1046,25.6804,27.5439,28.1294,29.0013,30.1316,31.0065,27.6487,25.6804
600520.2839,3628724.5117,29.2077,25.7659,27.5229,28.1711,28.8772,30.0294,31.2291,27.6277,25.6804
600520.2839,3628724.3225,29.0839,25.8086,27.5439,29.4549,28.8772,30.0294,31.1077,27.6068,25.6377
600520.2839,3628724.1333,28.8358,25.6377,27.5019,29.3932,28.9393,30.0089,31.0267,27.5648,25.6163
600520.2839,3628723.9441,28.3585,25.6377,27.5229,29.2696,28.9186,30.0294,30.9457,27.5229,25.6591
600520.4731,3628724.7009,29.1665,25.9153,27.5019,30.2745,28.8979,29.9884,31.0267,27.5858,24.5406
600520.4731,3628724.5117,29.1046,25.9580,27.5439,29.0013,28.7530,29.8861,30.8240,27.5229,25.6804
600520.4731,3628724.3225,28.8772,25.8940,27.5019,29.7426,28.7530,29.9680,30.8443,27.6068,25.6804
600520.4731,3628724.1333,28.6493,25.6804,27.5229,29.2696,28.8565,29.8451,30.8849,27.5439,25.6591
600520.4731,3628723.9441,28.4625,25.5949,27.5019,29.2696,28.8772,29.9884,30.7834,27.5229,25.6377
600520.4731,3628723.7549,28.2336,25.6591,27.5019,29.7015,28.9393,30.0907,30.6615,27.5648,25.6804
600520.4731,3628723.5657,28.1086,25.6377,27.5229,29.7836,28.8979,29.9475,30.8443,27.5439,25.6377
600520.4731,3628723.3765,28.1086,25.6377,27.5229,30.4376,29.0219,29.9475,30.7631,27.5229,25.6804
600520.6623,3628724.7009,29.1458,25.8940,27.4599,30.0498,28.8151,29.9270,31.0267,27.5019,24.5623
600520.6623,3628724.5117,29.0219,25.9580,27.5229,30.2949,28.7115,29.8451,30.6615,27.5648,24.5406
600520.6623,3628724.3225,28.8979,25.8940,27.5439,29.4138,28.6908,29.8861,30.6818,27.5858,25.6804
600520.6623,3628724.1333,28.6908,25.8513,27.5019,28.8565,28.9186,29.8451,30.8240,27.5229,25.6377
600520.6623,3628723.9441,28.5871,25.8086,27.5439,29.1458,28.9599,29.8861,30.7834,27.5019,25.6163
600520.6623,3628723.7549,28.5871,25.8727,27.5439,29.7631,28.9393,29.9475,30.4580,27.4599,25.6591
600520.6623,3628723.5657,28.4209,25.7659,27.4809,29.9270,28.9599,30.0089,30.6005,27.4599,25.6377
600520.6623,3628723.3765,28.0877,25.7232,27.5019,30.1111,29.0219,29.9270,30.3561,27.4599,25.6804
600520.6623,3628723.1873,28.0042,25.5735,27.5019,30.3765,28.9599,29.9065,30.7225,27.5648,25.6163
600520.6623,3628722.9981,28.0042,25.6377,27.4599,30.4784,28.8565,29.9475,30.6818,27.5019,25.5949
