X,Y,10/27/2021,12/14/2021,3/4/2022,3/20/2022,3/28/2022,4/13/2022,4/21/2022,1/26/2024,1/29/2024
600483.7775,3628663.2738,29.1871,25.8086,27.2708,30.1316,26.4471,28.5455,28.4625,27.7743,24.2156
600483.7775,3628663.4633,29.1252,25.7659,27.2287,30.2337,26.3622,28.5871,28.4209,27.8162,24.2373
600483.9670,3628663.2738,30.0498,25.7018,27.1445,29.7836,26.1071,28.5871,28.3793,27.7952,24.2156
600483.9670,3628663.0842,29.0839,25.7232,27.0603,29.8451,26.1709,28.5663,28.3793,27.7952,24.2807
600483.9670,3628662.8946,29.0426,25.8086,26.9337,29.7426,26.1497,28.6700,28.4417,27.8162,24.2156
600483.9670,3628663.4633,31.2089,25.7873,26.9548,29.4755,26.1709,28.6908,28.4001,27.8162,24.3024
600484.1566,3628663.2738,31.0875,25.7446,27.3759,29.6810,26.1709,28.5871,28.3377,27.8789,24.2156
600484.1566,3628663.0842,29.8861,25.7873,27.1445,29.7426,26.0858,28.6078,28.3585,27.7325,24.2156
600484.1566,3628662.8946,29.4755,25.7232,27.0392,29.3108,26.0858,28.6700,28.3585,27.7325,24.2590
600484.1566,3628662.7051,28.7322,25.7232,26.9759,28.4001,26.0645,28.6700,28.4209,27.7534,24.3457
600484.1566,3628662.5155,28.5663,25.8086,26.8915,27.5858,25.9580,28.7115,28.4209,27.7952,24.3674
600484.1566,3628663.6529,32.5745,25.7659,26.8070,27.6487,26.0858,28.6908,28.4001,27.8371,24.4540
600484.1566,3628663.4633,31.9943,25.8086,26.9126,27.5648,26.2135,28.6078,28.4001,27.8789,24.4757
600484.3462,3628663.2738,31.4512,25.7018,27.2287,29.6810,26.1709,28.5663,28.3585,28.0042,24.2373
600484.3462,3628663.0842,31.1280,25.8086,26.9970,29.1871,26.1071,28.6908,28.3377,28.0042,24.2807
600484.3462,3628662.8946,30.0294,25.7232,26.9548,28.1294,26.0645,28.6908,28.3793,27.8371,24.2590
600484.3462,3628662.7051,29.0219,25.7232,26.8492,27.6068,25.9580,28.6908,28.3793,27.6906,24.2807
600484.3462,3628662.5155,28.8151,25.8086,26.8281,27.5858,25.9153,28.6493,28.4001,27.6906,24.3457
600484.3462,3628662.3260,28.4832,25.7446,26.8492,28.1711,26.0006,28.6493,28.3793,27.8789,24.7351
600484.3462,3628662.1364,28.3793,25.7873,26.7859,28.2336,26.0006,28.6908,28.4625,28.0460,24.9077
600484.3462,3628661.9468,28.6908,25.8086,26.8492,28.5248,26.0858,28.6700,28.4417,28.1086,24.5406
600484.3462,3628663.6529,32.5346,25.7659,27.0181,28.8151,26.2135,28.6078,28.4001,28.1503,24.2807
600484.3462,3628663.4633,32.3948,25.8086,27.0181,28.8151,26.1709,28.6493,28.4417,28.1086,24.3457
600484.5357,3628663.2738,31.9341,25.7659,27.4179,28.8358,26.1709,28.5871,28.3585,28.0460,24.1721
600484.5357,3628663.0842,30.8443,25.7873,27.2498,27.8371,26.1497,28.5871,28.3793,27.9625,24.2156
600484.5357,3628662.8946,29.6194,25.7232,26.9759,27.8998,26.1071,28.6493,28.4209,28.0668,24.2807
600484.5357,3628662.7051,29.1046,25.7446,26.8915,27.8580,26.0006,28.6700,28.4417,28.0668,24.2590
600484.5357,3628662.5155,29.0013,25.7873,26.9337,28.0251,25.9580,28.6493,28.4417,27.8162,24.3674
600484.5357,3628662.3260,28.6286,25.7446,26.9759,28.1919,25.9153,28.6908,28.4417,27.7743,24.5406
600484.5357,3628662.1364,28.5248,25.8086,26.8704,28.6286,25.9153,28.6286,28.3377,27.9416,24.8430
600484.5357,3628661.9468,28.2336,25.7232,26.8070,28.6493,25.9580,28.6286,28.3793,28.0460,25.1230
600484.5357,3628661.7573,28.2336,25.7446,26.8704,28.6908,25.9580,28.6286,28.4001,28.1294,24.5623
600484.5357,3628661.5677,28.1919,25.7873,26.8704,29.6810,26.0432,28.6493,28.4625,28.1294,24.4757
600484.5357,3628663.8425,33.9812,25.7659,26.8915,30.1929,26.0432,28.6493,28.4001,28.0877,24.4973
600484.5357,3628663.6529,32.8733,25.8300,26.9759,30.9660,26.2985,28.6286,28.5040,28.0251,24.2373
600484.5357,3628663.4633,32.4348,25.7446,27.1445,31.5923,26.4046,28.6286,28.4417,28.0251,24.2590
600484.7253,3628663.2738,32.5745,25.7232,27.3549,27.8580,26.1709,28.5455,28.3585,27.9834,24.1938
600484.7253,3628663.0842,31.4512,25.8300,27.1024,28.0042,26.1497,28.5455,28.3793,27.9207,24.2590
600484.7253,3628662.8946,29.9475,25.7232,26.9970,27.8998,26.0858,28.6700,28.4209,28.0251,24.3024
600484.7253,3628662.7051,29.4344,25.7659,26.9548,28.4625,26.0645,28.6700,28.4417,28.0460,24.2807
600484.7253,3628662.5155,29.3108,25.8086,26.9970,28.6908,25.9580,28.6493,28.4209,27.9416,24.4757
600484.7253,3628662.3260,28.9806,25.7659,27.1024,29.0013,26.0006,28.6493,28.3793,28.0251,24.5623
600484.7253,3628662.1364,28.8772,25.7232,26.9548,28.6078,26.0006,28.6286,28.3793,28.0668,24.8215
600484.7253,3628661.9468,28.4625,25.7873,26.8704,28.5040,25.9580,28.6493,28.3793,28.0251,24.8215
600484.7253,3628661.7573,28.4625,25.8086,26.8492,28.4625,25.9580,28.6493,28.4001,28.1294,24.5839
600484.7253,3628661.5677,28.4001,25.7873,26.8281,29.6810,25.9367,28.6078,28.4417,28.1086,24.5190
600484.7253,3628661.3781,28.1919,25.8086,26.8704,30.7021,25.9153,28.6286,28.4417,28.1086,24.4757
600484.7253,3628661.1886,28.1086,25.8300,26.9126,30.7021,26.1071,28.6493,28.4209,28.1919,24.3024
600484.7253,3628660.9990,28.1711,25.7446,27.1656,31.7332,26.2772,28.5871,28.4209,27.9625,24.2807
600484.7253,3628663.8425,33.6264,25.7232,27.1445,31.8538,26.4046,28.6078,28.4001,27.9625,24.2590
600484.7253,3628663.6529,33.2109,25.7446,27.1235,32.2548,26.3622,28.5248,28.4832,27.9625,24.3024
600484.7253,3628663.4633,32.8932,25.7018,27.0813,32.2348,26.4683,28.4832,28.4832,27.9625,24.3674
600484.9149,3628663.2738,32.1747,25.7873,27.3339,27.8580,26.1497,28.5248,28.4001,28.0042,24.2590
600484.9149,3628663.0842,31.0470,25.7873,27.1235,28.6286,26.1284,28.5455,28.4209,27.8998,24.2373
600484.9149,3628662.8946,30.2541,25.7659,27.1235,28.6493,26.1497,28.5871,28.4209,28.0042,24.2807
600484.9149,3628662.7051,29.7220,25.7659,27.1235,28.8772,25.9367,28.6078,28.4001,28.1086,24.3457
600484.9149,3628662.5155,29.5578,25.7873,27.2287,29.1046,26.0006,28.6286,28.4625,28.1086,24.3891
600484.9149,3628662.3260,29.1252,25.7659,27.5019,29.4138,26.0006,28.6286,28.4832,28.1086,24.6919
600484.9149,3628662.1364,29.0633,25.7873,27.5229,28.7737,26.0006,28.6286,28.4832,28.0877,24.8861
600484.9149,3628661.9468,28.6908,25.7873,27.3759,28.5040,25.9580,28.6286,28.4209,28.1086,24.5623
600484.9149,3628661.7573,28.6908,25.7446,27.2708,28.5663,25.8940,28.6493,28.4209,28.0668,24.5406
600484.9149,3628661.5677,28.6078,25.8086,27.0392,29.1458,25.8086,28.5871,28.4209,28.1294,24.4540
600484.9149,3628661.3781,28.2128,25.7659,26.9759,30.4580,25.8940,28.6286,28.3793,28.1294,24.4757
600484.9149,3628661.1886,28.2544,25.7232,26.8915,31.0267,26.0645,28.6078,28.3585,28.1086,24.3457
600484.9149,3628660.9990,28.0668,25.7659,27.0603,31.5319,26.0645,28.5663,28.3585,27.9834,24.2807
600484.9149,3628660.8094,28.1086,25.7018,27.1024,31.8940,26.0858,28.5663,28.4625,27.9625,24.3891
600484.9149,3628660.6199,28.0877,25.6804,27.1235,32.1146,26.1497,28.4832,28.4832,27.9416,24.3674
600484.9149,3628663.8425,33.6659,25.7018,28.2336,32.1347,26.3410,28.4625,28.4832,27.9625,24.2807
600484.9149,3628663.6529,33.0919,25.6804,28.2128,32.1347,26.5107,28.5871,28.4417,27.9416,24.2807
600484.9149,3628663.4633,33.4881,25.7659,28.2336,26.2347,26.4683,28.4625,28.4832,27.9416,24.2807
600485.1044,3628663.2738,32.7539,25.7446,27.6487,27.9834,26.2772,28.5871,28.4209,27.9625,24.2156
600485.1044,3628663.0842,31.9743,25.7446,27.4389,28.2544,26.1497,28.6078,28.4001,27.9625,24.2156
600485.1044,3628662.8946,30.8849,25.8300,27.2287,28.8151,26.1922,28.5455,28.4001,28.0251,24.2590
600485.1044,3628662.7051,30.8037,25.7873,27.1656,29.1046,26.0858,28.5871,28.3793,28.0251,24.2807
600485.1044,3628662.5155,30.0907,25.7873,27.2077,29.0633,26.0432,28.6286,28.3793,28.1294,24.3674
600485.1044,3628662.3260,29.5372,25.7659,27.3759,29.4549,26.0006,28.5871,28.4209,28.0251,24.4757
600485.1044,3628662.1364,29.4344,25.7659,27.6906,29.6194,26.0432,28.6078,28.4001,28.0460,24.7567
600485.1044,3628661.9468,29.0013,25.7659,27.7115,29.5988,25.8727,28.5871,28.4417,28.0877,24.7999
600485.1044,3628661.7573,29.0013,25.8300,27.6696,29.2902,25.8940,28.6078,28.4417,28.1086,24.6271
600485.1044,3628661.5677,28.9393,25.8086,27.6068,29.3520,25.9153,28.5455,28.4625,28.0460,24.4973
600485.1044,3628661.3781,28.4832,25.7873,27.3969,29.3932,25.8300,28.5455,28.4625,28.1294,24.4324
600485.1044,3628661.1886,28.5455,25.7873,27.2287,30.0294,25.8940,28.4625,28.4417,28.1294,24.4324
600485.1044,3628660.9990,28.3377,25.7659,27.0603,31.0267,25.9367,28.4625,28.3377,28.0042,24.5623
600485.1044,3628660.8094,28.3585,25.7873,26.9548,31.4915,25.8513,28.4832,28.2961,27.9625,24.4757
600485.1044,3628660.6199,28.0877,25.7659,27.8580,31.7533,25.9367,28.5455,28.4209,27.9625,24.5190
600485.1044,3628660.4303,27.8580,25.7659,27.9834,31.9943,26.1497,28.5455,28.4832,28.0251,24.4973
600485.1044,3628660.2407,27.7743,25.6804,28.1294,26.1071,26.2135,28.5455,28.4832,28.0460,24.3891
600485.1044,3628664.0320,33.7843,25.7446,28.1711,26.2347,26.3622,28.5248,28.4417,27.9625,24.3891
600485.1044,3628663.8425,33.6462,25.6804,28.1919,26.2985,26.3834,28.4417,28.5040,27.9416,24.3024
600485.1044,3628663.6529,33.3694,25.7873,28.2128,26.3410,26.5954,28.4832,28.4625,27.9207,24.2373
600485.1044,3628663.4633,33.7054,25.8300,28.2336,26.2985,26.7647,28.6078,28.5871,27.8998,24.2807
600485.2940,3628663.2738,32.7738,25.7446,27.5439,27.7534,26.2560,28.5663,28.4001,28.0042,24.1938
600485.2940,3628663.0842,32.5346,25.8086,27.4389,28.4832,26.1497,28.6078,28.4001,28.0042,24.2156
600485.2940,3628662.8946,31.5117,25.8086,27.1866,29.0013,26.1922,28.5871,28.3793,28.0251,24.2373
600485.2940,3628662.7051,31.4512,25.8300,27.3129,29.1665,26.1284,28.5871,28.3793,28.0668,24.2373
600485.2940,3628662.5155,30.6412,25.7446,27.3549,29.2490,26.0432,28.6078,28.4209,28.0251,24.3674
600485.2940,3628662.3260,29.9270,25.7446,27.6487,29.4549,26.1284,28.5871,28.3793,28.0460,24.4540
600485.2940,3628662.1364,29.9270,25.7873,27.7115,29.8656,26.0432,28.5455,28.3585,28.0251,24.5623
600485.2940,3628661.9468,29.4344,25.7873,27.7534,30.0294,25.9153,28.5455,28.4417,28.0251,24.7135
600485.2940,3628661.7573,29.4344,25.7659,27.7743,29.7836,25.8940,28.6078,28.4001,28.0251,24.6919
600485.2940,3628661.5677,29.3520,25.7873,27.5439,29.3520,25.8300,28.5663,28.4209,28.0460,24.4540
600485.2940,3628661.3781,28.8979,25.7446,27.3969,29.3314,25.8300,28.4832,28.4001,28.1503,24.5190
600485.2940,3628661.1886,28.8358,25.7873,27.3129,29.4344,25.9367,28.5248,28.3585,28.1086,24.4540
600485.2940,3628660.9990,28.5663,25.8086,27.1656,30.2745,25.9367,28.4001,28.3169,28.0460,24.5623
600485.2940,3628660.8094,28.6078,25.7446,27.8789,31.4109,25.8513,28.5040,28.2961,27.9416,24.5623
600485.2940,3628660.6199,28.3793,25.7659,27.9207,31.4109,25.9153,28.5040,28.3585,27.9625,24.4757
600485.2940,3628660.4303,28.4001,25.7018,28.0877,26.0006,26.0432,28.5455,28.4625,27.9834,24.4540
600485.2940,3628660.2407,28.1503,25.6804,28.1086,26.2560,26.1497,28.5871,28.4832,27.9834,24.4757
600485.2940,3628660.0512,27.7534,25.6804,28.1294,26.3834,26.2772,28.5455,28.4832,27.9625,24.3457
600485.2940,3628659.8616,27.7952,25.7232,28.1711,26.3622,26.2772,28.5455,28.4832,27.9207,24.2373
600485.2940,3628659.6720,27.4389,25.8513,28.2336,26.3410,26.4683,28.5248,28.5455,27.9416,24.2590
600485.2940,3628664.0320,33.6856,25.8300,28.2128,26.3197,26.5742,28.5248,28.5248,27.8998,24.2807
600485.2940,3628663.8425,33.5276,25.9153,28.2128,26.3197,26.6378,28.5248,28.4625,27.8998,24.1938
600485.2940,3628663.6529,33.7448,25.8940,28.2753,26.4471,26.8070,28.5455,28.4417,27.8162,24.2156
600485.2940,3628663.4633,33.5276,25.8513,28.1503,26.3197,26.8070,28.5871,28.3585,27.8998,24.1721
600485.4835,3628663.2738,33.2109,25.7873,27.8371,27.5439,26.3622,28.5871,28.4209,27.9625,24.1504
600485.4835,3628663.0842,33.0323,25.7446,27.6906,28.0668,26.3622,28.6286,28.2961,27.9207,24.1938
600485.4835,3628662.8946,32.4148,25.7873,27.6068,28.3377,26.2985,28.5663,28.3169,28.0251,24.2590
600485.4835,3628662.7051,32.2148,25.8300,27.4599,29.0426,26.2135,28.6286,28.3169,27.9416,24.2590
600485.4835,3628662.5155,31.4714,25.7873,27.5019,29.1665,26.2560,28.6286,28.3585,28.0042,24.2373
600485.4835,3628662.3260,30.6412,25.7659,27.7534,29.4138,26.2772,28.5455,28.3377,28.0251,24.3674
600485.4835,3628662.1364,30.6615,25.7873,27.7534,29.5372,26.2985,28.5663,28.4001,28.1086,24.3674
600485.4835,3628661.9468,29.8861,25.7873,27.8789,29.7015,26.3410,28.5248,28.4209,28.1086,24.4540
600485.4835,3628661.7573,29.8861,25.8086,27.7952,30.0089,26.1284,28.5455,28.4625,28.0668,24.5623
600485.4835,3628661.5677,29.8451,25.7446,27.7743,30.0907,26.0858,28.5663,28.3793,28.0877,24.6271
600485.4835,3628661.3781,29.1252,25.7659,27.5019,29.9270,26.0645,28.5248,28.3377,28.1086,24.6703
600485.4835,3628661.1886,29.1046,25.7659,27.4599,29.3314,26.0645,28.4832,28.3793,28.1086,24.5623
600485.4835,3628660.9990,28.8358,25.7018,28.7530,29.4344,26.1284,28.4832,28.3169,28.0668,24.5623
600485.4835,3628660.8094,28.7944,25.7659,28.6908,29.4344,26.0645,28.4832,28.2961,28.0877,24.5839
600485.4835,3628660.6199,28.5663,25.7232,28.3585,25.9153,25.8086,28.4209,28.3169,28.0877,24.5623
600485.4835,3628660.4303,28.5248,25.7446,28.1503,26.0006,26.0645,28.3793,28.2753,28.0460,24.5406
600485.4835,3628660.2407,28.3169,25.6804,28.0460,26.0432,26.1284,28.4625,28.3377,28.0042,24.5623
600485.4835,3628660.0512,28.1086,25.7232,28.0668,26.3410,26.0858,28.5455,28.3585,28.0251,24.4757
600485.4835,3628659.8616,28.1503,25.6804,28.1086,26.4046,26.1922,28.5455,28.4625,27.9207,24.3024
600485.4835,3628659.6720,27.8580,25.6804,28.1503,26.3834,26.3197,28.4417,28.4209,27.9416,24.1938
600485.4835,3628659.4825,27.8789,25.8086,28.1294,26.3410,26.4471,28.4417,28.4832,27.9207,24.2590
600485.4835,3628659.2929,27.5019,25.8086,28.1919,26.2985,26.4259,28.4625,28.4832,27.9207,24.2807
600485.4835,3628664.2216,33.7843,25.8727,28.2128,26.4046,26.5319,28.4417,28.4625,28.0877,24.2373
600485.4835,3628664.0320,33.6067,25.9153,28.1503,26.3622,26.5319,28.5455,28.3585,27.8998,24.1070
600485.4835,3628663.8425,33.4485,25.8513,28.1294,26.3622,26.5742,28.5871,28.3793,27.8998,24.1721
600485.4835,3628663.6529,33.7448,25.9153,28.1503,26.4046,26.5742,28.5040,28.3585,27.8998,24.4107
600485.4835,3628663.4633,33.7448,25.8300,28.1711,26.4046,26.5107,28.4001,28.4209,27.9416,24.3674
600485.6731,3628663.2738,33.3496,25.7873,27.8162,27.4599,26.3834,28.6078,28.3377,27.8998,23.8894
600485.6731,3628663.0842,33.1911,25.8086,27.7952,27.3549,26.3410,28.6078,28.3169,27.9416,24.1287
600485.6731,3628662.8946,32.6543,25.8086,27.6068,27.9625,26.3197,28.6078,28.2961,27.9625,24.2373
600485.6731,3628662.7051,32.5146,25.7873,27.5858,28.9806,26.2772,28.6078,28.2961,28.0042,24.2590
600485.6731,3628662.5155,32.0946,25.7446,27.6906,29.2902,26.2772,28.5871,28.3585,27.9834,24.2590
600485.6731,3628662.3260,32.0345,25.7659,27.8162,29.3520,26.3197,28.5663,28.3585,27.9834,24.3457
600485.6731,3628662.1364,31.4512,25.8086,27.7952,29.6399,26.3622,28.5663,28.3793,28.0251,24.3457
600485.6731,3628661.9468,30.6615,25.7232,27.9207,29.6810,26.3197,28.5663,28.4209,28.0251,24.4540
600485.6731,3628661.7573,30.6615,25.7659,27.9207,29.7220,26.2560,28.5663,28.3793,28.0668,24.5406
600485.6731,3628661.5677,30.6412,25.7446,27.6277,29.9475,26.2560,28.6078,28.3793,28.1086,24.4973
600485.6731,3628661.3781,29.7631,25.7232,28.8565,30.1316,26.1497,28.5871,28.3169,28.0877,24.6055
600485.6731,3628661.1886,29.5988,25.8086,28.8565,29.2284,26.1284,28.5455,28.3377,28.1086,24.6271
600485.6731,3628660.9990,29.1252,25.7873,29.0219,29.2284,26.1709,28.5455,28.3377,28.1086,24.7351
600485.6731,3628660.8094,29.0426,25.7018,29.0013,25.8727,26.0432,28.5040,28.3169,27.9834,24.6703
600485.6731,3628660.6199,28.7944,25.7232,29.0839,25.8940,25.9153,28.4417,28.2961,28.0042,24.6919
600485.6731,3628660.4303,28.7737,25.7018,28.1919,25.8727,26.0645,28.3585,28.3585,28.0042,24.5623
600485.6731,3628660.2407,28.5455,25.7018,28.0460,25.9580,26.0858,28.4625,28.3585,28.0668,24.5623
600485.6731,3628660.0512,28.3169,25.7018,28.0251,26.3410,26.1497,28.4832,28.3585,28.0460,24.4107
600485.6731,3628659.8616,28.4209,25.7659,28.1086,26.3834,26.3410,28.5455,28.3585,27.9834,24.2590
600485.6731,3628659.6720,28.2336,25.7873,28.1086,26.3834,26.4046,28.4001,28.4209,28.0251,24.2373
600485.6731,3628659.4825,28.2544,25.8727,28.1711,26.3410,26.4683,28.4625,28.4209,27.8998,24.2590
600485.6731,3628659.2929,27.9416,25.8513,28.1294,26.3834,26.4683,28.4625,28.4625,27.7952,24.3024
600485.6731,3628659.1033,27.9625,25.8727,28.1503,26.3410,26.4259,28.4625,28.4417,27.8789,24.1721
600485.6731,3628658.9138,27.6068,25.8727,28.1086,26.3410,26.5319,28.4832,28.4417,27.9207,24.1287
600485.6731,3628664.2216,33.6067,25.8940,28.1086,26.2985,26.5531,28.5455,28.4209,28.0251,24.3674
600485.6731,3628664.0320,33.3892,25.8513,28.1503,26.2985,26.5319,28.5040,28.3585,27.9625,24.4107
600485.6731,3628663.8425,33.5079,25.8513,28.1294,26.3197,26.4895,28.4209,28.3793,27.8580,24.3891
600485.6731,3628663.6529,33.9812,25.8300,28.1086,26.2772,26.6166,28.4417,28.3585,27.9625,24.3024
600485.6731,3628663.4633,33.6462,25.7659,28.1294,26.3622,27.1235,28.5663,28.3377,27.9416,24.1938
600485.8627,3628663.2738,33.4485,25.8086,28.1086,27.7952,26.3834,28.5663,28.3585,27.9834,24.1504
600485.8627,3628663.0842,33.3100,25.7873,28.1294,27.3339,26.2772,28.5871,28.3585,27.9416,23.9329
600485.8627,3628662.8946,32.7539,25.8086,28.1503,27.6487,26.3622,28.5871,28.2961,27.9625,23.9547
600485.8627,3628662.7051,32.6144,25.7232,27.9834,28.1711,26.3834,28.6493,28.3169,27.9625,23.9547
600485.8627,3628662.5155,32.3148,25.7873,28.0042,28.8151,26.3834,28.6286,28.3377,28.0460,24.2590
600485.8627,3628662.3260,32.1747,25.7873,27.9207,29.2490,26.3197,28.6078,28.3377,27.9834,24.3457
600485.8627,3628662.1364,31.7332,25.7873,27.9625,29.3520,26.3622,28.6078,28.3585,27.9625,24.3024
600485.8627,3628661.9468,31.3503,25.8086,27.8789,29.5166,26.4471,28.5663,28.4209,27.9834,24.3674
600485.8627,3628661.7573,31.3503,25.8300,27.8789,29.5783,26.4046,28.6286,28.3585,27.9207,24.3674
600485.8627,3628661.5677,31.3705,25.7659,28.0877,29.7220,26.4683,28.6286,28.3793,27.9416,24.4107
600485.8627,3628661.3781,30.3153,25.7446,28.0668,29.9270,26.3834,28.5663,28.4209,27.9834,24.4324
600485.8627,3628661.1886,30.0294,25.7446,28.6700,29.7631,26.3622,28.5871,28.4001,28.0251,24.5839
600485.8627,3628660.9990,29.4138,25.7232,28.7322,25.8086,26.3197,28.5663,28.4001,28.1086,24.6919
600485.8627,3628660.8094,29.3932,25.7873,28.8358,25.8300,26.2560,28.5663,28.3585,28.1503,24.6919
600485.8627,3628660.6199,28.9806,25.7446,29.1458,25.8513,26.3197,28.5248,28.2753,28.0460,24.7999
600485.8627,3628660.4303,29.0633,25.8086,29.2696,25.8513,26.2347,28.4001,28.3585,28.0668,24.8646
600485.8627,3628660.2407,28.7737,25.7873,29.3932,25.8940,26.1497,28.4832,28.3377,28.0668,24.5406
600485.8627,3628660.0512,28.8772,25.7446,29.4344,25.9580,26.2347,28.4417,28.4209,27.9625,24.4973
600485.8627,3628659.8616,28.5455,25.7018,28.8358,26.1709,26.2560,28.4417,28.4209,28.0251,24.4107
600485.8627,3628659.6720,28.4209,25.7018,28.6493,26.3197,26.3410,28.4417,28.4417,28.0460,24.3457
600485.8627,3628659.4825,28.4625,25.6377,28.0460,26.4046,26.3622,28.3585,28.4625,28.0460,24.3457
