X,Y,10/27/2021,12/14/2021,3/4/2022,3/20/2022,3/28/2022,4/13/2022,4/21/2022,1/26/2024,1/29/2024
600466.5637,3628679.9591,27.1024,25.9367,27.3549,24.9077,30.3969,31.7734,32.2748,27.9207,26.1284
600466.5637,3628679.7699,27.0181,25.8513,27.3969,24.2590,30.4580,31.7734,32.2148,27.8998,26.1922
600466.7530,3628679.9591,27.2077,25.8727,27.3129,24.6271,30.4376,31.7533,32.2748,27.9207,26.1497
600466.7530,3628679.7699,27.0813,25.8513,27.3969,24.2590,30.4376,31.7533,32.2748,27.9207,26.1497
600466.7530,3628679.5806,27.0392,25.8300,27.4389,25.5093,30.4173,31.8136,32.2148,27.9207,26.1709
600466.7530,3628679.3913,27.0181,25.7659,27.5439,24.7351,30.3969,31.7533,32.1547,27.8998,26.2135
600466.7530,3628679.2021,27.0181,25.7659,27.6068,23.8022,30.3765,31.6930,32.0345,27.9834,26.1497
600466.9423,3628680.1484,27.2708,25.8727,27.2287,26.6378,30.4173,31.8136,32.3148,28.0042,26.2135
600466.9423,3628679.9591,27.1656,25.8940,27.3549,25.8727,30.4173,31.7935,32.2948,27.9207,26.1284
600466.9423,3628679.7699,27.0392,25.8727,27.3759,24.9292,30.3357,31.7734,32.2348,27.9207,26.1497
600466.9423,3628679.5806,27.1024,25.8086,27.4389,25.4021,30.4173,31.7734,32.2348,27.8789,26.1922
600466.9423,3628679.3913,27.0813,25.8300,27.5019,25.1875,30.3765,31.7533,32.1747,27.9416,26.1709
600466.9423,3628679.2021,26.9970,25.7232,27.5019,24.4757,30.3357,31.7533,32.1146,28.0042,26.1709
600466.9423,3628679.0128,27.0603,25.7232,27.5858,25.6163,30.3969,31.7332,32.1347,28.0877,26.2347
600466.9423,3628678.8236,27.0603,25.7232,27.6487,28.9806,30.3765,31.8136,32.0545,28.0877,26.1709
600466.9423,3628678.6343,27.0392,25.7446,27.7115,30.4784,30.4173,31.7332,32.0345,28.0460,26.2135
600467.1315,3628680.1484,27.1866,25.7873,27.2498,26.0006,30.4173,31.7734,32.3148,27.9207,26.2135
600467.1315,3628679.9591,27.2077,25.8086,27.3549,25.3378,30.3357,31.7332,32.2948,27.9207,26.1922
600467.1315,3628679.7699,27.1024,25.8300,27.3969,24.8861,30.3357,31.7533,32.2948,27.9207,26.1709
600467.1315,3628679.5806,27.1866,25.7446,27.4389,25.2519,30.3153,31.7533,32.2548,27.8789,26.1922
600467.1315,3628679.3913,27.0813,25.7232,27.5019,24.4107,30.3561,31.7734,32.2348,28.0042,26.1709
600467.1315,3628679.2021,27.0603,25.7659,27.4809,26.9970,30.3357,31.7533,32.1547,28.0877,26.2347
600467.1315,3628679.0128,27.0392,25.7018,27.5648,28.2128,30.2949,31.6728,32.0946,28.0877,26.1922
600467.1315,3628678.8236,27.0603,25.6377,27.5648,29.1046,30.3561,31.6527,32.0545,28.0042,26.2135
600467.1315,3628678.6343,27.0603,25.7659,27.6277,29.6810,30.3561,31.6527,32.0345,27.9207,26.2347
600467.1315,3628678.4450,27.0603,25.8727,27.6906,30.5598,30.3765,31.6930,32.0345,27.9207,26.1922
