X,Y,10/27/2021,12/14/2021,3/4/2022,3/20/2022,3/28/2022,4/13/2022,4/21/2022,1/26/2024,1/29/2024
600584.9115,3628765.123,27.1656,27.0813,25.958,29.352,29.4344,31.128,31.5923,25.958,25.2089
600585.1008,3628765.312,27.2077,27.1656,25.958,29.352,29.2077,31.1684,31.4512,25.894,25.2089
600585.1008,3628765.123,27.2077,27.0813,26.0006,29.352,29.352,31.2089,31.5722,26.0006,25.2519
600585.1008,3628764.933,27.2077,27.0392,25.9367,29.2902,29.4344,31.0672,31.431,25.958,25.2089
600585.1008,3628764.744,27.2498,26.9759,26.0006,29.3108,29.2902,30.8849,31.431,25.9367,25.2089
600585.29,3628765.312,27.1656,27.1445,26.0006,29.3314,29.2284,30.9457,31.3099,25.894,25.2734
600585.29,3628765.123,27.2077,27.1235,25.958,29.352,29.4344,30.966,31.5117,26.0006,25.2089
600585.29,3628764.933,27.2077,27.0603,25.958,29.352,29.2902,30.9862,31.3907,25.958,25.2089
600585.29,3628764.744,27.2498,27.0392,26.0006,29.3108,29.1871,30.8849,31.1887,25.9367,25.2304
600585.29,3628764.555,27.2498,27.0181,26.0006,29.249,29.1252,30.8443,30.5395,26.0006,25.2304
600585.29,3628764.366,27.1866,26.9759,25.958,29.2696,28.9393,30.8037,29.7426,25.9367,25.2519
600585.29,3628764.176,27.2287,26.997,25.958,29.2284,28.8358,30.824,29.8656,25.9367,25.2089
600585.4792,3628765.501,27.2077,27.2077,26.0006,29.3932,28.3585,31.0065,30.9457,25.9153,25.2089
600585.4792,3628765.312,27.2077,27.1656,25.958,29.2902,28.7944,30.8849,31.128,25.958,25.2089
600585.4792,3628765.123,27.2287,27.0813,25.958,29.3726,29.2696,30.966,31.4512,25.9367,25.2089
600585.4792,3628764.933,27.2077,27.0813,26.0006,29.3932,29.352,30.9862,31.3099,26.0006,25.1875
600585.4792,3628764.744,27.2077,27.0181,25.958,29.352,29.1252,30.9051,31.0875,25.958,25.2089
600585.4792,3628764.555,27.1866,26.997,26.0006,29.352,28.8565,30.8646,29.8861,25.958,25.2089
600585.4792,3628764.366,27.2498,27.0603,26.0006,29.2696,27.9207,30.8646,29.249,25.9153,25.2304
600585.4792,3628764.176,27.2077,27.0181,26.0006,29.2284,28.4001,30.8037,29.1046,25.958,25.2304
600585.4792,3628763.987,27.1866,27.0181,25.958,29.249,28.4001,30.824,29.5166,25.894,25.2304
600585.4792,3628763.798,27.2287,27.0392,26.0006,28.9186,28.9186,30.9051,29.8041,25.9367,25.2089
600585.6685,3628765.501,27.1866,27.2077,26.0006,29.4549,28.3169,30.9254,30.9457,25.9367,25.2519
600585.6685,3628765.312,27.2077,27.1866,26.0006,29.3932,28.5455,30.9254,31.0672,25.958,25.2089
600585.6685,3628765.123,27.2077,27.1024,26.0006,29.352,28.7115,30.966,31.3099,25.958,25.2089
600585.6685,3628764.933,27.2077,27.0813,26.0006,29.3726,29.1871,30.9457,31.3099,25.9367,25.1875
600585.6685,3628764.744,27.2498,27.0603,25.958,29.352,29.0013,30.9254,31.2493,25.9367,25.2089
600585.6685,3628764.555,27.2077,27.0603,26.0006,29.3108,29.0013,30.9051,30.4376,25.958,25.1875
600585.6685,3628764.366,27.2287,27.0603,25.9367,29.3108,27.3549,30.8443,29.8861,26.0006,25.2089
600585.6685,3628764.176,27.2287,26.997,26.0432,29.2902,27.6906,30.8037,29.4344,25.958,25.2089
600585.6685,3628763.987,27.2077,26.997,26.0006,29.2696,27.7743,30.8443,29.681,25.894,25.2304
600585.6685,3628763.798,27.2498,27.0392,26.0006,29.1252,28.5663,30.8646,29.9884,25.9367,25.2519
600585.6685,3628763.609,27.2287,26.9759,26.0006,29.0219,29.1046,30.8646,30.2949,25.9367,25.2089
600585.6685,3628763.419,27.2498,26.9126,26.0006,29.0219,29.4344,30.8037,30.7021,25.9153,25.2519
600585.6685,3628763.23,27.1866,26.8915,26.0006,27.8998,29.5783,30.8037,31.128,25.9153,25.2089
600585.8577,3628765.501,27.1866,27.1656,26.0006,29.4138,28.2544,31.0672,30.8849,25.958,25.2519
600585.8577,3628765.312,27.2287,27.1024,25.9367,29.3932,28.3377,30.9862,30.9862,25.958,25.2304
600585.8577,3628765.123,27.2077,27.1024,26.0006,29.3726,28.5871,30.9051,31.1684,25.958,25.1875
600585.8577,3628764.933,27.2287,27.0813,26.0006,29.3726,28.9599,30.8443,31.1684,25.9367,25.2304
600585.8577,3628764.744,27.1656,27.0392,26.0006,29.3726,28.7944,30.8849,31.1684,25.9367,25.2304
600585.8577,3628764.555,27.2498,27.0813,25.9367,29.3314,28.6286,30.8646,30.6208,25.958,25.2089
600585.8577,3628764.366,27.2287,27.0603,26.0006,29.3726,26.7859,30.8646,30.8037,25.958,25.2089
600585.8577,3628764.176,27.1445,27.0603,26.0006,29.2902,26.9337,30.8037,31.3907,25.9367,25.2304
600585.8577,3628763.987,27.2498,27.0181,26.0006,29.2284,27.4179,30.8037,31.1482,25.9367,25.2089
600585.8577,3628763.798,27.1866,26.997,26.0006,29.2077,28.3585,30.8849,31.0672,25.9153,25.2304
600585.8577,3628763.609,27.2287,27.0392,25.958,29.2077,28.7944,30.8646,30.6412,25.9153,25.2304
600585.8577,3628763.419,27.2287,27.0181,26.0006,29.0013,29.2902,30.8037,30.9254,25.894,25.2089
600585.8577,3628763.23,27.2287,27.0181,26.0006,28.6286,29.5783,30.8037,31.0267,25.9367,25.2519
600585.8577,3628763.041,27.2077,26.9126,26.0006,28.0251,29.7836,30.8037,31.3503,25.958,25.2519
600585.8577,3628762.852,27.2287,26.8492,26.0006,28.6286,29.8041,30.8849,31.3705,25.9367,25.2304
600586.047,3628765.69,27.2077,27.2077,26.0006,29.4138,28.1711,31.0875,30.3765,25.9367,25.2304
600586.047,3628765.501,27.2077,27.2077,26.0006,29.3932,28.2128,31.0267,30.4987,25.9367,25.2089
600586.047,3628765.312,27.2287,27.1024,26.0006,29.4344,28.3169,31.0267,30.6615,25.9367,25.166
600586.047,3628765.123,27.2287,27.0813,26.0006,29.4344,28.4001,30.9254,31.0875,25.958,25.2089
600586.047,3628764.933,27.2708,27.0603,25.958,29.352,28.7322,30.8443,31.128,25.9367,25.2304
600586.047,3628764.744,27.2287,27.1024,25.958,29.3932,28.7944,30.9051,30.9457,26.0432,25.2089
600586.047,3628764.555,27.2498,27.1024,25.958,29.3314,28.4625,30.9051,30.8849,25.894,25.2089
600586.047,3628764.366,27.2287,27.0392,26.0006,29.352,27.3339,30.8646,31.0065,25.894,25.2089
600586.047,3628764.176,27.2077,27.0181,26.0006,29.2902,27.3339,30.7631,31.3907,25.9367,25.2519
600586.047,3628763.987,27.2077,27.0181,25.9367,29.2696,27.4179,30.8037,31.7332,25.958,25.2734
600586.047,3628763.798,27.2077,26.9548,26.0006,29.2284,28.3585,30.8037,31.0672,25.958,25.2089
600586.047,3628763.609,27.2498,26.9759,26.0006,29.2284,28.6286,30.8646,30.824,25.9367,25.2089
600586.047,3628763.419,27.2498,27.0181,25.958,29.249,29.2902,30.8646,31.0065,25.894,25.2304
600586.047,3628763.23,27.2287,27.0181,26.0006,28.67,29.5783,30.8037,31.1684,25.9153,25.2089
600586.047,3628763.041,27.2498,26.9759,25.958,28.0877,29.7631,30.8037,31.2695,25.9153,25.2734
600586.047,3628762.852,27.2287,26.9126,26.0006,28.0877,29.8246,30.8443,31.3503,25.9367,25.2304
600586.047,3628762.662,27.2498,26.9126,26.0432,28.6078,29.8246,30.9457,31.3099,25.9367,25.2089
600586.047,3628762.473,27.2287,26.9126,26.0006,28.6286,29.681,31.3099,31.4109,25.9367,25.2304
600586.2362,3628765.69,27.2498,27.2077,26.0006,29.4344,28.2336,30.7834,30.1724,25.9153,25.2304
600586.2362,3628765.501,27.1866,27.2077,25.958,29.4344,28.2128,30.824,30.4784,25.9153,25.2304
600586.2362,3628765.312,27.2287,27.1445,25.9367,29.4344,28.3169,30.9051,30.5598,25.9153,25.2089
600586.2362,3628765.123,27.2287,27.1024,25.958,29.4138,28.3793,30.9457,30.7631,25.9367,25.2089
600586.2362,3628764.933,27.2077,27.0813,26.0006,29.4344,28.67,30.8443,31.0672,25.9367,25.2304
600586.2362,3628764.744,27.2077,27.0392,26.0006,29.352,28.67,30.8443,30.9051,25.9153,25.2089
600586.2362,3628764.555,27.2287,27.1024,25.9153,29.4344,28.7737,30.824,31.0065,25.958,25.2089
600586.2362,3628764.366,27.2287,27.0813,25.9367,29.4344,27.9416,30.9254,30.9862,25.9153,25.2089
600586.2362,3628764.176,27.2287,27.0181,26.0006,29.3726,28.1294,30.8037,31.8136,25.9367,25.2089
600586.2362,3628763.987,27.2287,27.0181,25.958,29.3932,28.2544,30.824,31.6124,25.9367,25.2089
600586.2362,3628763.798,27.2077,26.9548,26.0006,29.3314,28.7944,30.7428,31.1077,25.958,25.1875
600586.2362,3628763.609,27.2287,26.997,26.0006,29.3108,28.7944,30.7834,30.8443,25.958,25.2304
600586.2362,3628763.419,27.2077,27.0181,26.0006,29.2284,29.1665,30.8443,30.9862,25.9153,25.2519
600586.2362,3628763.23,27.1656,27.0603,26.0006,29.1665,29.5783,30.9457,31.1684,25.958,25.2304
600586.2362,3628763.041,27.2498,27.0181,25.9367,29.1665,29.7836,30.824,31.2291,25.9367,25.2089
600586.2362,3628762.852,27.2287,26.9759,25.958,28.2961,29.9884,30.7225,31.3099,25.9367,25.2734
600586.2362,3628762.662,27.2287,26.9126,26.0645,27.9625,29.9884,30.8037,31.2493,25.894,25.2089
600586.2362,3628762.473,27.2287,26.9337,26.0432,28.5871,29.681,30.9862,31.4109,25.894,25.2304
600586.2362,3628762.284,27.2708,26.9126,26.0006,28.9186,29.6194,31.552,31.4915,25.8727,25.2734
600586.2362,3628762.095,27.2287,26.9759,26.0006,28.504,29.5372,31.7131,31.5722,25.9367,25.2304
600586.2362,3628761.905,27.2287,26.7859,25.958,29.2077,29.5988,31.8739,31.3503,25.9367,25.2089
600586.4254,3628765.88,27.1866,27.1866,26.0006,29.4344,28.3585,30.9862,31.1684,25.9367,25.2734
600586.4254,3628765.69,27.2287,27.2077,26.0006,29.4344,28.2128,30.8646,30.0907,25.9367,25.2304
600586.4254,3628765.501,27.1866,27.1866,26.0006,29.4549,28.2961,30.8646,30.0089,25.9367,25.2089
600586.4254,3628765.312,27.2708,27.1445,25.958,29.4138,28.3377,30.8037,30.1316,25.9153,25.2519
600586.4254,3628765.123,27.2498,27.0813,25.958,29.4344,28.3377,30.9862,30.2949,25.894,25.2089
600586.4254,3628764.933,27.2287,27.0392,26.0006,29.4138,28.5871,30.8849,30.3561,25.894,25.2089
600586.4254,3628764.744,27.1866,27.0603,25.958,29.4549,28.7737,30.8443,30.4784,25.9153,25.2089
600586.4254,3628764.555,27.2287,27.1024,26.0006,29.4344,29.0013,30.8646,30.4987,25.958,25.2089
600586.4254,3628764.366,27.1656,27.0181,26.0006,29.4344,29.1252,30.9051,30.8443,25.9367,25.2089
600586.4254,3628764.176,27.2498,26.997,26.0006,29.4138,29.4344,30.9051,30.9862,25.9367,25.2089
600586.4254,3628763.987,27.2287,27.0181,26.0006,29.3726,30.1724,30.824,30.9862,25.9367,25.2519
600586.4254,3628763.798,27.2287,26.997,26.0006,29.3726,30.1111,30.7834,30.8849,25.958,25.1875
600586.4254,3628763.609,27.2498,27.0392,26.0006,29.3108,29.9065,30.7834,31.0875,25.9367,25.2519
600586.4254,3628763.419,27.1866,27.0392,26.0006,29.3108,29.5783,30.8849,31.047,25.9153,25.2304
600586.4254,3628763.23,27.2498,26.997,26.0006,29.2284,29.681,30.8849,31.1482,25.958,25.2304
600586.4254,3628763.041,27.2287,26.9548,26.0006,29.1871,29.6399,30.9051,31.1887,25.958,25.2734
600586.4254,3628762.852,27.1866,26.9337,26.0006,28.2961,29.8451,30.8037,31.3503,25.9367,25.2734
600586.4254,3628762.662,27.2498,26.997,26.0006,28.2753,29.8246,30.8037,31.4714,25.958,25.2089
600586.4254,3628762.473,27.2498,26.9337,26.0645,28.0251,29.6194,30.8646,31.5319,25.894,25.2519
600586.4254,3628762.284,27.2287,26.9759,25.958,28.9806,29.5988,31.2493,31.2897,25.9367,25.2089
600586.4254,3628762.095,27.2498,27.0181,25.958,28.7944,29.4549,31.552,31.2897,25.958,25.2089
600586.4254,3628761.905,27.2077,26.9548,26.0006,29.3726,29.5372,31.7935,31.5117,25.9367,25.2734
600586.4254,3628761.716,27.2287,26.7647,26.0006,30.8646,29.4961,31.8739,31.3099,26.0006,25.2089
600586.4254,3628761.527,27.2287,26.7013,26.0006,31.2089,29.4961,32.0946,31.1684,25.894,25.1875
600586.6147,3628765.88,27.1866,27.2498,26.0006,30.824,29.4549,31.2493,31.0875,25.958,25.2089
600586.6147,3628765.69,27.1656,27.2287,25.958,30.5395,28.2753,30.9254,30.7225,25.958,25.2089
600586.6147,3628765.501,27.2077,27.2077,26.0006,29.4549,28.2544,30.8646,30.2949,25.958,25.1875
600586.6147,3628765.312,27.2077,27.1445,26.0006,29.4344,28.2961,30.8443,29.4344,26.0006,25.1875
600586.6147,3628765.123,27.1656,27.1024,25.958,29.4344,28.3377,30.9862,30.1111,25.9367,25.2089
600586.6147,3628764.933,27.2498,27.0392,26.0006,29.4344,28.2961,30.9254,30.152,25.958,25.2089
600586.6147,3628764.744,27.1866,27.0813,25.958,29.3726,28.4832,30.8037,30.152,25.9367,25.2519
600586.6147,3628764.555,27.1866,27.0813,26.0006,29.4344,28.7944,30.8037,30.1724,25.9367,25.2304
600586.6147,3628764.366,27.1656,27.0392,26.0006,29.4344,28.9806,30.8037,30.3561,25.958,25.2519
600586.6147,3628764.176,27.1866,27.0392,26.0006,29.4344,29.2284,30.7834,30.3765,25.9153,25.2089
600586.6147,3628763.987,27.2077,26.997,26.0006,29.4344,29.5372,30.8849,30.5191,25.9367,25.1875
600586.6147,3628763.798,27.2077,27.0181,26.0006,29.4138,30.0294,30.8849,30.8037,25.9153,25.2089
600586.6147,3628763.609,27.2498,26.997,26.0006,29.4344,30.152,30.824,30.8037,25.9153,25.2089
600586.6147,3628763.419,27.1866,27.0392,26.0432,29.3932,29.4755,30.7428,30.824,25.958,25.2304
600586.6147,3628763.23,27.2077,27.0181,26.0006,29.3108,29.5372,30.9254,30.8849,25.958,25.2734
600586.6147,3628763.041,27.1866,27.0181,26.0006,29.2902,29.6399,30.9254,30.8037,25.9153,25.3163
600586.6147,3628762.852,27.2287,27.0181,26.0432,29.2284,29.6194,30.824,31.128,25.9153,25.2089
600586.6147,3628762.662,27.1656,26.9759,26.0006,29.2077,29.722,30.8037,31.1482,25.958,25.2519
600586.6147,3628762.473,27.2708,26.9337,26.0432,28.9186,29.7015,30.9862,31.1887,25.958,25.2519
600586.6147,3628762.284,27.2498,26.9759,26.0432,28.4001,29.681,30.966,31.3099,25.9367,25.2519
600586.6147,3628762.095,27.2498,27.0813,26.0006,27.8789,29.681,30.8849,31.3301,25.958,25.2089
600586.6147,3628761.905,27.1866,26.997,26.0645,28.6286,29.5988,31.6326,31.552,25.958,25.2089
600586.6147,3628761.716,27.2287,26.9337,26.0006,29.2077,29.5372,31.6527,31.1684,25.9153,25.2089
600586.6147,3628761.527,27.2077,26.9126,26.0006,29.8861,29.5166,31.7935,31.1482,25.958,25.2304
600586.6147,3628761.338,27.2498,26.6166,26.0006,30.5598,29.4344,31.8136,31.3099,25.894,25.2089
600586.6147,3628761.148,27.2498,26.3834,26.0006,31.0267,29.5166,31.9141,31.3099,25.9153,25.2089
600586.6147,3628760.959,27.2077,26.3622,26.0432,31.0875,29.4755,32.1747,31.1482,25.958,25.2304
600586.8039,3628765.88,27.2077,27.3129,26.0432,30.8646,29.5783,32.0345,31.1077,25.9367,25.2089
600586.8039,3628765.69,27.1866,27.2287,26.0006,30.8646,29.5783,31.1887,30.7021,25.958,25.2734
600586.8039,3628765.501,27.1656,27.2708,26.0006,30.1111,29.5988,30.9254,30.7021,25.9367,25.1875
600586.8039,3628765.312,27.1445,27.1866,25.958,28.5248,28.2961,30.9254,29.968,25.894,25.2304
600586.8039,3628765.123,27.1656,27.1445,25.9367,29.4344,28.2753,30.8646,30.2133,25.9367,25.2089
600586.8039,3628764.933,27.2077,27.0813,25.958,29.4549,28.2753,30.8037,30.7631,26.0006,25.2304
600586.8039,3628764.744,27.1866,27.0813,26.0006,29.4961,28.3169,30.966,30.1316,25.958,25.2304
600586.8039,3628764.555,27.2077,27.0603,26.0006,29.4549,28.2544,30.9051,30.1316,25.958,25.2304
600586.8039,3628764.366,27.1656,26.997,26.0006,29.4344,28.3793,30.7428,30.1724,25.9367,25.2089
600586.8039,3628764.176,27.2287,27.0181,26.0006,29.4138,28.4417,30.7834,30.1724,25.9367,25.1875
